tax	barcode01_1	barcode01_2	barcode01_3	barcode02_1	barcode02_2	barcode02_3	barcode03_1	barcode03_2	barcode03_3	barcode04_1	barcode04_2	barcode04_3	barcode05_1	barcode05_2	barcode05_3	barcode06_1	barcode06_2	barcode06_3	barcode07_1	barcode07_2	barcode07_3	barcode08_1	barcode08_2	barcode08_3	barcode09_1	barcode09_2	barcode09_3	barcode10_1	barcode10_2	barcode10_3	barcode11_1	barcode11_2	barcode11_3	barcode12_1	barcode12_2	barcode12_3	barcode13_1	barcode13_2	barcode13_3	barcode14_1	barcode14_2	barcode14_3	barcode15_1	barcode15_2	barcode15_3	barcode16_1	barcode16_2	barcode16_3	barcode21_1	barcode21_2	barcode21_3	barcode22_1	barcode22_2	barcode22_3	barcode23_1	barcode23_2	barcode23_3	barcode24_1	barcode24_2	barcode24_3	total
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Porticoccaceae;C1-B045	148	29	41	92	22	14	172	46	49	263	66	46	170	54	39	125	27	34	52	17	15	43	18	9	41	12	7	38	9	10	16	6	6	17	4	6	0	0	0	0	0	0	0	0	0	30	7	10	0	0	0	0	0	0	0	0	0	0	0	0	1810
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marinoscillum	61	13	14	106	28	25	126	28	42	118	38	21	56	17	12	46	10	15	5	5	0	4	1	0	2	1	1	130	34	37	46	22	14	47	13	21	129	40	38	140	31	38	44	9	14	92	26	30	0	0	0	0	0	0	0	0	0	0	0	0	1790
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Tagaea	3	0	0	0	2	0	0	1	0	160	44	48	150	37	33	162	42	49	242	73	70	202	56	44	184	61	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1725
Bacteria;Bacteria_none;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group	4	1	0	2	1	0	1	0	1	161	32	60	96	30	27	188	40	49	115	13	20	107	21	26	89	26	33	0	0	0	0	0	2	0	0	0	150	45	52	176	29	45	34	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1686
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Vicingus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	73	75	338	90	102	332	91	102	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1481
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Silicimonas	306	86	92	534	150	155	70	21	18	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1451
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marinovum	0	0	0	0	0	0	0	0	0	171	39	52	126	31	34	335	94	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	82	81	1	0	0	0	0	0	0	0	0	0	0	0	1417
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;Unclassified_KI89A clade	238	63	61	256	57	61	452	99	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1414
Bacteria;Bacteria_none;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;Nannocystaceae_uncultured	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	107	91	390	103	98	130	29	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1335
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Ekhidna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	98	93	353	123	97	175	30	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333
