tax	barcode01_1	barcode01_2	barcode01_3	barcode02_1	barcode02_2	barcode02_3	barcode03_1	barcode03_2	barcode03_3	barcode04_1	barcode04_2	barcode04_3	barcode05_1	barcode05_2	barcode05_3	barcode06_1	barcode06_2	barcode06_3	barcode07_1	barcode07_2	barcode07_3	barcode08_1	barcode08_2	barcode08_3	barcode09_1	barcode09_2	barcode09_3	barcode10_1	barcode10_2	barcode10_3	barcode11_1	barcode11_2	barcode11_3	barcode12_1	barcode12_2	barcode12_3	barcode13_1	barcode13_2	barcode13_3	barcode14_1	barcode14_2	barcode14_3	barcode15_1	barcode15_2	barcode15_3	barcode16_1	barcode16_2	barcode16_3	barcode21_1	barcode21_2	barcode21_3	barcode22_1	barcode22_2	barcode22_3	barcode23_1	barcode23_2	barcode23_3	barcode24_1	barcode24_2	barcode24_3	total
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus halotolerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	19	13	94	30	34	0	0	0	0	0	0	275
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseovarius;Roseovarius indicus	0	0	0	0	0	0	0	0	0	26	3	6	12	1	3	40	13	11	30	6	7	32	9	3	27	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	5	4	0	0	0	0	0	0	0	0	0	0	0	0	272
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Maribacter;Maribacter flavus	0	0	0	0	0	0	0	0	0	17	1	3	14	1	3	26	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	8	22	53	15	9	14	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Marivibrio;Marivibrio halodurans	17	3	7	23	5	1	11	3	3	32	9	10	22	3	4	18	8	9	3	2	1	11	0	1	3	4	1	5	0	4	1	1	1	5	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	236
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	7	7	112	31	31	0	0	0	0	0	0	235
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	13	17	89	28	27	0	0	0	0	0	0	216
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria;Listeria innocua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	16	18	72	14	17	0	0	0	0	0	0	190
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira;Thalassospira profundimaris	22	10	7	30	12	9	54	25	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseovarius;Roseovarius confluentis	1	0	1	1	1	0	1	0	0	6	0	0	4	3	0	4	1	2	11	3	1	17	2	1	16	1	1	15	1	7	5	3	1	15	1	2	4	1	3	6	0	0	1	0	1	7	4	3	0	0	0	0	0	0	0	0	0	0	0	0	158
Bacteria;Bacteria_none;Balneolaeota;Balneolia;Balneolales;Balneolaceae;Balneola;Balneola vulgaris	15	6	5	59	13	7	4	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseovarius;Roseovarius pacificus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	6	7	20	9	5	21	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus mojavensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	3	11	42	8	7	0	0	0	0	0	0	86
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Nitratireductor;Nitratireductor aquibiodomus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	5	1	21	2	8	12	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Maribacter;Maribacter aurantiacus	0	0	0	0	0	0	0	0	0	3	2	0	2	0	0	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	4	2	14	3	2	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71
